elapsed_s,cpu_percent,rss_mib
0.004657268524169922,0.0,495.796875
1.0072872638702393,100.7,495.796875
2.009685516357422,98.8,521.515625
3.010197877883911,98.9,502.609375
4.010694980621338,100.0,502.609375
5.011112213134766,100.0,502.609375
6.011782884597778,99.9,502.609375
7.012322187423706,99.9,502.609375
8.013129234313965,99.9,502.609375
9.013689279556274,98.9,502.609375
10.014338493347168,99.9,502.609375
11.01501989364624,98.9,502.609375
12.01560354232788,99.9,502.609375
13.016121864318848,99.9,502.609375
14.022615432739258,99.4,502.609375
15.023308038711548,99.9,502.609375
16.341890811920166,48.5,502.609375
17.342854261398315,98.9,502.609375
18.343546152114868,99.9,502.609375
19.34454894065857,98.9,502.609375
20.345866680145264,99.9,502.609375
21.346843242645264,99.9,502.609375
22.34769868850708,99.9,502.609375
23.34818434715271,98.9,502.609375
24.349231481552124,99.9,502.609375
25.35006093978882,99.9,502.609375
26.350911140441895,98.9,502.609375
27.35153031349182,99.9,502.609375
28.352027654647827,99.0,502.609375
29.389509201049805,98.3,469.4609375
