date,lead_months,M0 Persistence,M1 Direct NN,M2 HHSA single ResNet,M4 Dual physical reconstruction,M5 Dual fusion ResNet,M4 residual,M4 IA IMF1,M4 carrier IMF1,M4 IMF1,M4 IA IMF2,M4 carrier IMF2,M4 IMF2,M4 IA IMF3,M4 carrier IMF3,M4 IMF3,M4 IA IMF4,M4 carrier IMF4,M4 IMF4,M4 IA IMF5,M4 carrier IMF5,M4 IMF5,M4 IA IMF6,M4 carrier IMF6,M4 IMF6
2026-03-01,1,-3.82,-1.4982782051866925,5.771795299927185,-2.876969992247771,-1.5435418011458522,-4.225796375151351,4.025003832613356,-0.9571539023066982,-3.8525481251852898,3.861543499348647,0.45831834857723136,1.769816239580615,1.7408887747680803,0.22920845925489886,0.3990264337987403,1.1899654601187595,-0.8433358371877251,-1.0035405175337304,2.496623064681113,0.9387866949479061,2.3437965154226945,1.6927151548836343,0.999740465451723,1.69227583682055
2026-04-01,2,-3.82,-1.2361452339770833,0.8666783704973912,0.8150284529796341,-2.1171520952692067,-4.276103780152646,2.2765464710554957,-0.8614749785111784,-1.961187822232232,3.9781211946030393,0.8123176949373677,3.2314982389814286,1.6073741581782202,0.7177628706539844,1.153713489989031,1.0588268855363807,0.6318081204812247,0.6689754244657296,2.5208365930966172,0.8642449354479635,2.1786202586756502,1.8441691678889631,-0.09786919762568932,-0.18048735674732796
2026-05-01,3,-3.82,-1.4003309801019075,-4.167882908636144,-1.0789210639102227,-1.7180872861970782,-4.339643688644369,2.8059896825262625,-0.9823468653903644,-2.7564551689473777,3.50901800591148,0.6314483845377392,2.215763751146643,1.7563960086831925,0.38566188171999416,0.6773749897542473,1.0225171920480802,-0.9205599116771335,-0.9412883360001313,2.6998231574567413,0.9729687306008223,2.6268435103573897,1.8704521864199024,0.7690567494145217,1.438483878423375
2026-06-01,4,-3.82,-0.2576493913691698,-3.760645561729334,-0.4078253010114601,-2.4405019094467018,-4.65904183376669,3.4295479891873937,0.3116221998406373,1.0687232888496099,2.089651766617381,0.23108524889644397,0.4828876985956713,1.6473531671582933,0.9473440003036603,1.560610139288642,0.9195787262329911,-0.6735018839190029,-0.6193380045297565,2.5963552549706095,0.7517440128900145,1.9517945182596828,1.7699179736453008,-0.10930512633315437,-0.19346110770862018
2026-07-01,5,-3.82,-0.29233104622789524,-0.1654850165616099,-4.787362106528994,-0.8254178019181713,-4.255760554127156,4.011259645713193,-0.7430781340469294,-2.980679332714306,0.5471303631192922,0.9668775920184727,0.5290080880129738,1.6532972564984125,-0.898032691879319,-1.4847149857299624,0.952406711592491,-0.897700230872639,-0.8549757248812301,2.672758402295633,0.9996088544544148,2.67171296475215,1.9464687376859051,0.8158607469064802,1.5880474381585363
2026-08-01,6,-3.82,-0.4783021064836045,4.2420187050857345,-1.4639154192919142,-5.370013834237081,-4.689410745653493,3.93876854290731,-0.9496871075577756,-3.7405977048531978,-0.7388897914560522,-0.9580554090246828,0.7078973613775906,1.7987779673572284,0.9996796849404387,1.7982017916854767,0.903371960566949,0.6587941862661552,0.5951361956573644,2.584883396544539,0.9423201426058386,2.4357876908513147,1.8080518930798717,0.7903921326111522,1.4290699916430307
2026-09-01,7,-3.82,-0.30665531647816396,9.40334307158221,-1.1245890610113096,-0.7804219487897024,-4.856939431725527,4.094127798317876,-0.9406307398970234,-3.851062460164715,-1.9372460516382195,-0.8940147979039538,1.7319266373455753,1.8646960119074556,0.6499190004643207,1.2119013682286985,0.8672441703068676,0.36032740070251434,0.3124918376610823,2.541373784683161,0.9415927197394608,2.3929390537943847,1.9887763129620462,0.9725346793619536,1.9341539338491918
2026-10-01,8,-3.82,0.47551471679964835,9.964058794881328,-8.577048773690219,-1.4086595056506521,-4.911336871584685,4.641225893165051,-0.97331713514906,-4.517384689915045,-2.5300534304985547,0.14875110922370222,-0.376348254181893,2.106959181368702,-0.6404098839440423,-1.3493174848151648,0.8004249041534837,0.6196793163867345,0.4960067574247482,2.7468790733900352,0.9863027543979669,2.7092543960827267,1.983788654832032,-0.31652697739320096,-0.6279226267009071
2026-11-01,9,-3.82,-0.2763875911209294,7.979211434449212,-2.5901242190915053,-0.7540862029083994,-4.7562521676814535,5.15056851389865,-0.9875505278982404,-5.086446654876667,-2.8118744836778777,0.21101254977539238,-0.593340804449234,2.3767607451459924,0.9994856281843711,2.3755382064061963,0.8642415859066421,0.8960247360562562,0.7743818389008393,2.8082788620593164,0.9723551685685466,2.730644466305173,1.9962340334684967,0.9845293003490195,1.9653508963036403
2026-12-01,10,-3.82,-0.750734928638834,8.125724751924151,0.21206134349172068,-3.535194507927064,-5.238707754771951,4.800774674035949,0.8791386310508392,4.220546474915503,-2.504003667897085,-0.16666166507437372,0.4173214206440673,2.368118039279037,0.8857277926689254,2.097507963710085,0.9405733013210396,-0.9999509930950796,-0.940527206734691,2.668087658231436,-0.9283819194131361,-2.4770043413114,2.1610490536719142,0.9869858268214594,2.132924787040107
2027-01-01,11,-3.82,-0.7308605899074315,4.601722454760069,-5.912770743668407,1.194698106233567,-4.987816961693637,4.378730990529737,-0.6979217868199238,-3.0560117569142893,-2.199613003079749,0.7708455756275018,-1.695561951516747,2.6079911771025786,0.07198005839129341,0.18772335721182165,0.9135425753671096,-0.3405358067028668,-0.31109395786005317,2.8219431122253544,0.7531002029652436,2.1252059305732858,2.026772401678747,0.9003401640064608,1.8247845965312115
2027-02-01,12,-3.82,-0.5562295965890077,5.971071592101609,-7.375911784727053,1.0371604924636801,-5.174384487613515,3.5623259385395007,-0.128471750006997,-0.45765824741948774,-1.2206195959090436,-0.30234541032049167,0.36904873257035253,2.7559628885734324,-0.9478477567942576,-2.6122332417425502,1.0243150884536398,0.9265436387167821,0.949072629248338,2.7605413863002704,-0.7621874751334917,-2.1040500692257122,2.2883671427062793,0.7229141113689971,1.6542928994555208
2027-03-01,13,-3.82,0.44391911161843495,2.70710415183279,-4.125852175588154,1.5867834809513761,-4.673862084802711,2.932214540931436,-0.5592016107210609,-1.6396990942685752,-0.3275258129642904,-0.4657446610486049,0.1525433987437222,2.9821893100376466,-0.6852300494793981,-2.0434857284740287,1.0706725567397357,0.981983720843022,1.0513830210717972,2.659206809977454,0.9327726004636022,2.48043525131319,2.0753119334148966,0.26349439427577803,0.546833060828452
2027-04-01,14,-3.82,-0.5007690272038623,-2.643218303259411,-0.5416278588704904,-5.074604505016665,-5.2035421669035715,2.5264093187930925,0.9131133035708354,2.3068979592553047,0.14357754185323512,0.9579855940854975,0.13754521672960685,2.953869044724193,0.4762883110260633,1.406893298303857,1.1119060971034753,-0.9985186901971519,-1.1102590197019893,2.747072954388206,-0.04209065166579493,-0.11562609082368015,2.170961993469619,0.9380463363226911,2.0364629442699824
2027-05-01,15,-3.82,0.5176424366853491,-0.3808589040029159,-7.657734335888543,-1.5873591464172727,-4.943098093554001,2.2550855295368226,-0.6695702264932107,-1.5099381287735325,0.4982906293272098,0.21208156193458907,0.10567825496508401,3.0567326953458758,-0.6242421244264547,-1.9081413115465122,1.1939266711169583,-0.5919545903298348,-0.7067503734849024,2.7354580912394284,0.9040123532467833,2.47288790626931,2.2285405965194043,-0.5242770051345647,-1.1683725897639894
2027-06-01,16,-3.82,-0.9547569368428483,-2.152710911283905,-3.921737096046778,-2.307092077229112,-5.531509541064086,1.5779191298254216,-0.9878164365005284,-1.5586944519101626,0.6920999187772732,0.9959540351841124,0.6892997068568216,3.0542793555784753,0.9213514759158592,2.8140647921215676,1.2934515929832415,-0.0757175742951192,-0.09793701708884887,2.733417565254882,-0.5026982755982551,-1.3740842965436102,2.281336227310797,0.4984463482272248,1.1371237115815407
2027-07-01,17,-3.82,-0.7387359433957609,-3.318979010093122,-1.7342572644161285,-0.18272915175202264,-5.063813920066372,1.5589483794473944,0.8463192125319254,1.3193679648718402,0.41070799731320695,-0.45582700145680277,-0.18721179488960774,3.1388491071620885,-0.5220320507098861,-1.6385798362807202,1.3687405768281053,0.8331054242417895,1.1403051989353303,2.874731090602888,0.6009879078156206,1.727678623673947,2.3300483312009193,0.4154405238626717,0.9679964993394539
2027-08-01,18,-3.82,-1.1178393064327339,-4.511169083998005,-2.9310269433629283,-3.667294210155502,-5.138966276047831,1.7640516118434904,-0.9830507574862622,-1.7341522732676051,0.3282032370543204,0.6914946982432529,0.2269507983693361,3.039228324391043,0.8824247710432775,2.68189035829901,1.4349534398357082,0.06728746558132995,0.09655438019375623,2.8218788851113183,-0.4955644117433078,-1.3984227497110517,2.335317207998932,0.9999150482868897,2.335118818801457
2027-09-01,19,-3.82,0.3591134886562023,-7.023275733314794,-7.18211963585823,1.2022082451027805,-5.7552975670468545,2.101209293884644,-0.20661988961902586,-0.4341516323689164,0.42448317583397377,0.23080331906519894,0.09797212586981759,3.034569581608175,-0.7016843965211121,-2.1293101255720557,1.5529123600197758,-0.8844428187410788,-1.3734621849537514,2.877710380174796,0.6128865568192807,1.7637100064284341,2.37148619140551,0.2734233680697914,0.6484197417850965
2027-10-01,20,-3.82,0.34799458930640315,-6.07453826403714,-7.779531115770828,-0.9431649750487097,-5.0188675923662585,2.981349744324633,-0.9829532120526627,-2.9305273074362828,-0.1636644091310625,0.13895022888191477,-0.022741207108584478,3.1927592646582363,-0.5784611289769698,-1.8468871287858832,1.6283437487485921,-0.9781865464443326,-1.5928239480126032,2.7348943768821496,0.5833771435979911,1.5954748696277161,2.3775529897631666,0.8566964467588847,2.036841198311068
2027-11-01,21,-3.82,1.2707250001612689,-7.065347397756517,-12.962945899810093,-2.064142343490283,-5.698337198858699,2.7530407858385986,-0.8443204586827945,-2.3244486590716864,-0.4974910691641432,-0.10834601680531303,0.05390117574015141,2.9455040941902007,-0.9855739111271183,-2.903011990351976,1.7850262629497409,0.018681867486486793,0.03334762410432579,2.8685872744485286,-0.6758788371471316,-1.9388174313093312,2.3819977927689377,-0.07790914862568037,-0.18557942006287775
2027-12-01,22,-3.82,-0.0019013494511364581,-10.121266775920441,-5.107167527577856,-1.5073984138621075,-5.392495123188666,2.5497588002091263,-0.5554886043769061,-1.416361957425902,-0.5714160323142621,0.9977888682750972,-0.5701525561970939,2.9386517466185245,0.9467666168919177,2.782217372369545,1.7906527063497437,-0.9622961132205913,-1.7231381394482912,2.700156857484817,0.00949804410470597,0.025646208922015065,2.406326081879414,0.49333158807112415,1.1871166673905371
2028-01-01,23,-3.82,0.1741635976211988,-9.495557869293489,-9.15582157314892,-5.529418763756736,-5.243770084800811,2.155047189178959,-0.3061487903435888,-0.6597650901004893,-0.40468543511600896,-0.003017226341595581,0.0012210275548920914,2.82905892521254,-0.8444137070507568,-2.3888961345037507,1.822194512133526,0.9372904933187148,1.7079255932002875,2.8170589057867588,-0.7964526932118399,-2.243654152450263,2.539447113978589,-0.12950958113615565,-0.3288827320487864
