branch,lead_months,circular_mae_rad,phasor_cosine,series,correlation,rmse,mae,r2
event,1,0.588010553890479,0.7243415370209851,,,,,
strength,1,,,IMF1_IA,0.8925348112712207,0.8707000430844617,0.5825790337690051,0.7898449252389242
strength,1,,,IMF2_IA,0.9946551069782804,0.22750885195964865,0.17927396993437447,0.986463121019377
strength,1,,,IMF3_IA,0.9971101217487479,0.09555308610501764,0.07447534715590855,0.9930326430806412
strength,1,,,IMF4_IA,0.9936001626334594,0.06528817800987631,0.056676193185590605,0.9866900291934552
strength,1,,,IMF5_IA,0.9992954377204823,0.06298662224839038,0.05359464939155248,0.9954656898771662
strength,1,,,IMF6_IA,0.9993007015034189,0.06717292708675499,0.06641831394170937,0.9054877543510136
event,3,0.7121196026495445,0.6372252674565457,,,,,
strength,3,,,IMF1_IA,0.8527790836481791,0.9968121576022781,0.7666321631454085,0.7266078119878207
strength,3,,,IMF2_IA,0.9724896043830331,0.5769958886115812,0.42891253462697937,0.9141976854359032
strength,3,,,IMF3_IA,0.9874678688748781,0.20146169513416007,0.15032774835302373,0.969001574708623
strength,3,,,IMF4_IA,0.9885932019460273,0.10439187372527327,0.09561346999410109,0.9660274789718923
strength,3,,,IMF5_IA,0.9974285926438176,0.09134100057244253,0.07864685163029275,0.9903429973144442
strength,3,,,IMF6_IA,0.9993377094506867,0.06785644872759684,0.06737248992583023,0.9028591424503242
event,6,0.8143020650897259,0.5643126164392676,,,,,
strength,6,,,IMF1_IA,0.7575794695224223,1.2547488782973608,0.9840108892035081,0.571703972977466
strength,6,,,IMF2_IA,0.9727903058208214,0.58221372948696,0.44589697247171467,0.9143669190965873
strength,6,,,IMF3_IA,0.9617056550691078,0.33621999724750146,0.24587544466650793,0.9114531386140581
strength,6,,,IMF4_IA,0.9819711920139158,0.11745336748419638,0.09574704398520253,0.9570521248518089
strength,6,,,IMF5_IA,0.9951634880995698,0.10679594848305775,0.09860626535178148,0.9864064469713817
strength,6,,,IMF6_IA,0.9964261020151028,0.11288648814964587,0.1109633802319536,0.7354052827487854
event,9,0.9220674617745513,0.4910170817356465,,,,,
strength,9,,,IMF1_IA,0.6841890714774703,1.4062516201842075,1.1066106778381084,0.46288464309360366
strength,9,,,IMF2_IA,0.929548313402581,0.77886525203889,0.6150812971844849,0.8492531268976942
strength,9,,,IMF3_IA,0.9548615150515318,0.3384790865551521,0.25367857511083713,0.9026268049190138
strength,9,,,IMF4_IA,0.9726397837577224,0.14050060599309364,0.1194170666903231,0.9385530432289846
strength,9,,,IMF5_IA,0.9863759701729958,0.17651061166610385,0.15774405314387183,0.9613384452374437
strength,9,,,IMF6_IA,0.9948204401042484,0.10213454692899493,0.0993895213715171,0.7958691293096604
event,12,0.9731686014650904,0.45107126470314235,,,,,
strength,12,,,IMF1_IA,0.578318626327944,1.6010836034555362,1.2756484513858384,0.3331283617554174
strength,12,,,IMF2_IA,0.9388149974745649,0.6958968867510592,0.5722773039585269,0.8762455810694143
strength,12,,,IMF3_IA,0.9293550709997896,0.393943366875531,0.2729563625848172,0.8580150617538915
strength,12,,,IMF4_IA,0.9340364614643681,0.2099062456280724,0.17369586261033756,0.8642521665389247
strength,12,,,IMF5_IA,0.9745920555020596,0.2233865835784024,0.19858585849796032,0.9349841895964954
strength,12,,,IMF6_IA,0.9923946893958885,0.10669026991697367,0.10211085889920096,0.8005353103553039
