date,lead_months,method,forecast
2026-04-01,2,M4 Dual physical reconstruction,0.8150284529796341
2026-05-01,3,M4 Dual physical reconstruction,-1.0789210639102227
2026-06-01,4,M4 Dual physical reconstruction,-0.4078253010114601
2026-07-01,5,M4 Dual physical reconstruction,-4.787362106528994
2026-08-01,6,M4 Dual physical reconstruction,-1.4639154192919142
2026-09-01,7,M4 Dual physical reconstruction,-1.1245890610113096
2026-10-01,8,M4 Dual physical reconstruction,-8.577048773690219
2026-11-01,9,M4 Dual physical reconstruction,-2.5901242190915053
2026-12-01,10,M4 Dual physical reconstruction,0.21206134349172068
2027-01-01,11,M4 Dual physical reconstruction,-5.912770743668407
2027-02-01,12,M4 Dual physical reconstruction,-7.375911784727053
2027-03-01,13,M4 Dual physical reconstruction,-4.125852175588154
2027-04-01,14,M4 Dual physical reconstruction,-0.5416278588704904
2027-05-01,15,M4 Dual physical reconstruction,-7.657734335888543
2027-06-01,16,M4 Dual physical reconstruction,-3.921737096046778
2027-07-01,17,M4 Dual physical reconstruction,-1.7342572644161285
2027-08-01,18,M4 Dual physical reconstruction,-2.9310269433629283
2027-09-01,19,M4 Dual physical reconstruction,-7.18211963585823
2027-10-01,20,M4 Dual physical reconstruction,-7.779531115770828
2027-11-01,21,M4 Dual physical reconstruction,-12.962945899810093
2027-12-01,22,M4 Dual physical reconstruction,-5.107167527577856
2028-01-01,23,M4 Dual physical reconstruction,-9.15582157314892
2028-02-01,24,M4 Dual physical reconstruction,-4.911234524776477
2028-03-01,25,M4 Dual physical reconstruction,-9.318994666937716
2028-04-01,26,M4 Dual physical reconstruction,-7.0111993586941495
2028-05-01,27,M4 Dual physical reconstruction,-5.033752925930548
2028-06-01,28,M4 Dual physical reconstruction,-8.396959446446537
2028-07-01,29,M4 Dual physical reconstruction,-9.596138045886224
2028-08-01,30,M4 Dual physical reconstruction,-8.48450788862363
2028-09-01,31,M4 Dual physical reconstruction,-2.770577355633029
2028-10-01,32,M4 Dual physical reconstruction,-8.014174260376205
2028-11-01,33,M4 Dual physical reconstruction,-8.153778442030317
2028-12-01,34,M4 Dual physical reconstruction,-13.848843152669875
2026-03-01,1,M5 Dual fusion ResNet,-1.5435418011458522
2026-04-01,2,M5 Dual fusion ResNet,-2.1171520952692067
2026-05-01,3,M5 Dual fusion ResNet,-1.7180872861970782
2026-06-01,4,M5 Dual fusion ResNet,-2.4405019094467018
2026-07-01,5,M5 Dual fusion ResNet,-0.8254178019181713
2026-08-01,6,M5 Dual fusion ResNet,-5.370013834237081
2026-09-01,7,M5 Dual fusion ResNet,-0.7804219487897024
2026-10-01,8,M5 Dual fusion ResNet,-1.4086595056506521
2026-11-01,9,M5 Dual fusion ResNet,-0.7540862029083994
2026-12-01,10,M5 Dual fusion ResNet,-3.535194507927064
2027-01-01,11,M5 Dual fusion ResNet,1.194698106233567
2027-02-01,12,M5 Dual fusion ResNet,1.0371604924636801
2027-03-01,13,M5 Dual fusion ResNet,1.5867834809513761
2027-04-01,14,M5 Dual fusion ResNet,-5.074604505016665
2027-05-01,15,M5 Dual fusion ResNet,-1.5873591464172727
2027-06-01,16,M5 Dual fusion ResNet,-2.307092077229112
2027-07-01,17,M5 Dual fusion ResNet,-0.18272915175202264
2027-08-01,18,M5 Dual fusion ResNet,-3.667294210155502
2027-09-01,19,M5 Dual fusion ResNet,1.2022082451027805
2027-10-01,20,M5 Dual fusion ResNet,-0.9431649750487097
2027-11-01,21,M5 Dual fusion ResNet,-2.064142343490283
2027-12-01,22,M5 Dual fusion ResNet,-1.5073984138621075
2028-01-01,23,M5 Dual fusion ResNet,-5.529418763756736
2028-02-01,24,M5 Dual fusion ResNet,-2.7487318483328824
2028-03-01,25,M5 Dual fusion ResNet,-1.916693782941295
2028-04-01,26,M5 Dual fusion ResNet,-0.8697500161248217
2028-05-01,27,M5 Dual fusion ResNet,-4.3412027409675575
2028-06-01,28,M5 Dual fusion ResNet,-4.74664082360083
2028-07-01,29,M5 Dual fusion ResNet,-4.5138274203254145
2028-08-01,30,M5 Dual fusion ResNet,-4.436185440887493
2028-09-01,31,M5 Dual fusion ResNet,-3.8418201482515237
2028-10-01,32,M5 Dual fusion ResNet,-4.28713294366861
2028-11-01,33,M5 Dual fusion ResNet,-4.547506342931761
2028-12-01,34,M5 Dual fusion ResNet,-6.633071251333604
