level,series,method,lead_months,n,correlation,rmse,mae,r2,slope,variance_ratio
signal,pmm_wind,M0 Persistence,1,129,0.4341536606254214,6.030532906118906,4.559069767441861,-0.12884545648739243,0.4330513899463754,0.994928655432508
signal,pmm_wind,M0 Persistence,3,129,0.005407258838462596,8.058886086875798,6.159534883720931,-0.9543128118661064,0.005310477808324169,0.9645236440646968
signal,pmm_wind,M0 Persistence,6,129,0.13981344028678225,7.512358396813251,5.883255813953487,-0.6871323519393866,0.13686160117343163,0.958220347605076
signal,pmm_wind,M0 Persistence,9,129,-0.07246322515369731,8.372946190378673,6.518914728682171,-1.1155222241904807,-0.0712660309191636,0.9672301483388187
signal,pmm_wind,M0 Persistence,12,129,0.11857096224028142,7.534343229968804,6.090465116279069,-0.773775717043133,0.11866337948221993,1.001559458679821
signal,pmm_wind,M1 Direct NN,1,129,0.26752323376507453,5.496511249301358,4.129292598173382,0.062227812051044995,0.09658705027090626,0.13035112847248953
signal,pmm_wind,M1 Direct NN,3,129,0.077111358887717,5.866470682532368,4.471637345915097,-0.03561386060249916,0.021550591490649647,0.07810551064870548
signal,pmm_wind,M1 Direct NN,6,129,0.01597929619927125,5.927835596018258,4.62471051580588,-0.05048258301037922,0.0038546864693537928,0.05819193847946696
signal,pmm_wind,M1 Direct NN,9,129,0.07858819928074842,5.8306974280229,4.578468177928567,-0.025892847917659223,0.019732841854468587,0.06304702453736546
signal,pmm_wind,M1 Direct NN,12,129,0.21930386532182627,5.5400215556660335,4.293617219901504,0.04097304778781752,0.04982440925515349,0.05161687925083592
signal,pmm_wind,M2 HHSA single ResNet,1,129,0.8253116795564062,3.962581444374009,3.00821914536482,0.512606751148715,1.0198528713462927,1.527000093413809
signal,pmm_wind,M2 HHSA single ResNet,3,129,0.6369043236293728,4.509365562430957,3.564536469802059,0.3881077779430473,0.4556354095531342,0.5117838079060307
signal,pmm_wind,M2 HHSA single ResNet,6,129,0.6492230341887404,4.470566822995571,3.4997416488702506,0.40252224953511717,0.40838822963590543,0.3956932055737995
signal,pmm_wind,M2 HHSA single ResNet,9,129,0.3355378361367113,5.49997450343498,4.296702829961234,0.08718589104521679,0.14947860322104445,0.19846094869871264
signal,pmm_wind,M2 HHSA single ResNet,12,129,0.2079851749477776,6.296743418068592,4.821888231317661,-0.23891039626841337,0.14778383496369327,0.5048810900341867
signal,pmm_wind,M4 Dual physical reconstruction,1,129,0.6827585118785143,4.323401702392229,3.1702476126496406,0.4198045954502292,0.5646005903114542,0.6838304091530898
signal,pmm_wind,M4 Dual physical reconstruction,3,129,0.6459867107371967,4.547691632430037,3.5439151191032328,0.3776623690876507,0.5394399588453349,0.6973311400990777
signal,pmm_wind,M4 Dual physical reconstruction,6,129,0.31855974700904094,6.4609272707277645,4.755325196863235,-0.2479186067514636,0.2476695779480249,0.6044543851070145
signal,pmm_wind,M4 Dual physical reconstruction,9,129,0.15227801014039982,7.102916485534316,5.3927384138977255,-0.5224197470009586,0.13409181751099053,0.7754078054718107
signal,pmm_wind,M4 Dual physical reconstruction,12,129,0.08537456500834208,6.8396645833535485,5.112111961385215,-0.46176484329656886,0.06518231693660592,0.5829114408970089
signal,pmm_wind,M5 Dual fusion ResNet,1,129,0.4141025791114903,7.495995948107374,6.16966627328216,-0.7441418078075204,0.20670719798959636,0.24916975728624324
signal,pmm_wind,M5 Dual fusion ResNet,3,129,0.44310099445990986,5.209916429340992,3.8505003571822893,0.1832191271017789,0.24085814113147302,0.2954725982039829
