date,lead_months,method,forecast
2026-05-01,3,M4 Dual physical reconstruction,-4.8572349496218505
2026-06-01,4,M4 Dual physical reconstruction,-0.6355751217999623
2026-07-01,5,M4 Dual physical reconstruction,-1.779671792277051
2026-08-01,6,M4 Dual physical reconstruction,-3.064120057277078
2026-09-01,7,M4 Dual physical reconstruction,-2.8941172731600946
2026-10-01,8,M4 Dual physical reconstruction,-1.3449840883031587
2026-11-01,9,M4 Dual physical reconstruction,0.7880880336553031
2026-12-01,10,M4 Dual physical reconstruction,1.1277128545000328
2027-01-01,11,M4 Dual physical reconstruction,5.674104736364758
2027-02-01,12,M4 Dual physical reconstruction,1.3464434805742447
2027-03-01,13,M4 Dual physical reconstruction,4.873528930099571
2027-04-01,14,M4 Dual physical reconstruction,5.440682755443571
2027-05-01,15,M4 Dual physical reconstruction,6.100675111060127
2027-06-01,16,M4 Dual physical reconstruction,4.648136449839084
2027-07-01,17,M4 Dual physical reconstruction,0.4212226696323559
2027-08-01,18,M4 Dual physical reconstruction,-0.5936654031300801
2027-09-01,19,M4 Dual physical reconstruction,-4.8932735111833745
2027-10-01,20,M4 Dual physical reconstruction,-1.6853597197960224
2027-11-01,21,M4 Dual physical reconstruction,-3.5066158561361727
2027-12-01,22,M4 Dual physical reconstruction,-5.931311022774078
2028-01-01,23,M4 Dual physical reconstruction,-4.211185212181272
2028-02-01,24,M4 Dual physical reconstruction,-5.1273633953613205
2028-03-01,25,M4 Dual physical reconstruction,-4.716434352803615
2028-04-01,26,M4 Dual physical reconstruction,-4.339642545991474
2028-05-01,27,M4 Dual physical reconstruction,-2.534579922939585
2028-06-01,28,M4 Dual physical reconstruction,-3.311917757393263
2028-07-01,29,M4 Dual physical reconstruction,-2.160808720381783
2028-08-01,30,M4 Dual physical reconstruction,-0.6204355424529887
2028-09-01,31,M4 Dual physical reconstruction,-1.1370854928443712
2028-10-01,32,M4 Dual physical reconstruction,1.4908827806060247
2028-11-01,33,M4 Dual physical reconstruction,-0.10957052122463962
2028-12-01,34,M4 Dual physical reconstruction,2.090654544813706
