elapsed_s,cpu_percent,rss_mib
0.003022909164428711,0.0,352.2421875
1.004194974899292,99.9,354.57421875
2.0126700401306152,98.2,413.99609375
3.013962984085083,77.9,427.14453125
4.01495885848999,98.9,432.69140625
5.0162599086761475,98.9,432.9921875
6.017261505126953,99.9,432.9921875
7.018167018890381,99.9,432.9921875
8.018959045410156,98.9,432.9921875
9.019543170928955,99.9,432.9921875
10.020261287689209,98.9,432.9921875
11.02125859260559,99.9,432.9921875
12.02189326286316,98.9,432.9921875
13.02255630493164,100.9,432.9921875
14.023193120956421,99.9,432.9921875
15.023942470550537,98.9,432.9921875
16.024726390838623,99.9,432.9921875
17.025349855422974,98.9,432.9921875
18.026121616363525,99.9,432.9921875
19.02665877342224,99.9,432.9921875
20.027486324310303,99.9,432.9921875
21.02817964553833,98.9,432.9921875
22.028928518295288,99.9,432.9921875
23.02946925163269,93.9,432.9921875
24.030258178710938,99.9,432.9921875
25.030789136886597,46.0,432.9921875
26.032224416732788,97.9,454.7578125
